ID,CENTER,FY,SIC,NAICS,STATE,PRODUCTS,EC_plant_cost,EC_plant_usage
NC0216,NC,2001,3589,,NC,Catalytic converters for boilers,177701,6529015
NC0217,NC,2001,2252,,NC,Socks,428792,7417930
NC0218,NC,2001,2620,,NC,Paper and paperboard,4802216,199608676
NC0219,NC,2001,2860,,NC,Pharmaceutical chemicals,137927,5284819
NC0220,NC,2001,2816,,NC,Textile dyes,128785,4994400
NC0221,NC,2001,3089,,NC,Compression molded plastic parts,158276,1899920
NC0222,NC,2001,2431,,NC,Wood cabinets and doors,72110,1302800
NC0223,NC,2001,2097,,NC,Ice,58914,1919314
NC0224,NC,2001,3829,,NC,Fire suppressant systems,171760,5204850
NC0225,NC,2001,2269,,NC,Dyed woven fabrics,523100,5587630
NC0226,NC,2001,3679,,NC,Phone cable,868921,36138000
NC0227,NC,2001,2511,,NC,Casegood furniture,631080,14883952
NC0228,NC,2002,2834,,NC,Blood components,3828104,76860494
NC0229,NC,2002,3299,,NC,"mica, clay, and sand",547068,20394246
NC0230,NC,2002,2392,,NC,Household textile goods,76506,1666800
NC0231,NC,2002,2761,,NC,"Forms, labels, envelopes, and prints",172267,6280560
NC0232,NC,2002,2657,,NC,Tissue boxes,159668,5933040
NC0233,NC,2002,2541,,NC,Commerical cabinets,46736,806080
NC0234,NC,2002,3423,,NC,Sockets for tool kits,,
NC0235,NC,2002,2653,,SC,Corrugated board and displays,550042,10577735
NC0236,NC,2002,2421,,SC,Lumber,389985,7308573
NC0237,NC,2002,3564,,NC,air filters,186022,5215350
NC0238,NC,2002,2299,,NC,Dyed package yarn,264417,9940500
NC0239,NC,2002,2511,,NC,Upholstered chairs,351629,6119871
NC0240,NC,2002,2511,,NC,Case good furniture,192291,4623680
NC0241,NC,2002,3312,,NC,Forged and cast metal parts,884264,26894911
NC0242,NC,2002,2252,,NC,Ladies hosiery,476809,13862400
NC0243,NC,2002,2241,,NC,Woven and knitted elastic webbing,49108,1730438
NC0244,NC,2002,3715,,NC,Truck bodies and trailers,143905,2990680
NC0245,NC,2002,2493,,NC,Laminated board,84466,1766700
NC0246,NC,2002,2110,,NC,Cigarette filters,144476,5272936
NC0247,NC,2002,2426,,NC,Frames,91729,1498800
NC0248,NC,2002,2653,,NC,Corrugated board,169207,3967920
NC0249,NC,2002,2210,,NC,Upholstery fabric,323177,12149500
NC0250,NC,2002,3499,,NC,"Lockers, shelving, and racks",135908,5533486
NC0251,NC,2002,3354,,NC,Aluminum extrusions,401600,8172000
NC0252,NC,2003,3643,,NC,Electrical outlets and switches,364509,12647100
NC0253,NC,2003,3086,,NC,Polyurethane foam,268045,10148000
NC0254,NC,2003,3321,331511,VA,Cast iron parts for auto industry,1015709,64407700
NC0255,NC,2003,3490,332911,SC,Steam traps and valves,111650,4793406
NC0256,NC,2003,2650,322211,SC,Corrugated containers,114608,4886897
NC0257,NC,2003,2493,333243,NC,Particleboard and MDF,1544521,112879711
NC0258,NC,2003,2490,333243,NC,High density fiberboard,1864343,69061800
