id,center,fy,sic,naics,state,products,ec_plant_cost,ec_plant_usage
CO0722,CO,2016,3443.0,332420.0,CO,Fabricated steel storage tanks,20348.0,511040.0
CO0723,CO,2016,2011.0,311611.0,CO,Bison and beef processing,137067.0,3322326.0
CO0724,CO,2016,3423.0,332216.0,MT,Vacuum lifting equipment,79671.0,1001400.0
CO0725,CO,2016,3341.0,331492.0,MT,Tungsten Carbide Powder,149342.0,1875960.0
CO0726,CO,2016,3532.0,333131.0,MT,Aftermarket Mining Equipment Components,75276.0,1051576.0
CO0727,CO,2016,3089.0,326199.0,WY,Injection Molded Livestock Tags,66144.0,1727080.0
CO0728,CO,2016,3715.0,336212.0,MT,Truck trailers,36820.0,463920.0
CO0729,CO,2016,3559.0,333242.0,MT,Semiconductor manufacturing equipment,363789.0,9510440.0
CO0730,CO,2016,3599.0,332710.0,MT,Machined parts for semiconductor manufacturing equipment,115024.0,2965540.0
CO0731,CO,2016,3599.0,334220.0,CO,Radio Frequency microwave components,62971.0,1431480.0
CO0732,CO,2016,3443.0,332313.0,WY,Custom pressure vessels and custom fabrications,31485.0,821640.0
CO0733,CO,2016,3421.0,332215.0,CO,Knives,36500.0,847563.0
CO0734,CO,2016,2023.0,311514.0,CO,Non-Fat Dried Milk Powder,651381.0,8870400.0
CO0735,CO,2016,7933.0,713950.0,CO,Family Entertainment Center,67203.0,1003200.0
CO0736,CO,2016,2099.0,311991.0,CO,Packaged meal kits,39991.0,985440.0
CO0737,CO,2021,2082.0,312120.0,CO,beer,97611.0,2225438.0
CO0738,CO,2021,2434.0,337110.0,WY,kitchen cabinets,37444.0,592830.0
CO0739,CO,2020,3823.0,334513.0,CO,"environmental field sampling equipment, remediation equipment, and extrusion products (tubing)",61212.0,1689440.0
CO0740,CO,2021,2759.0,323111.0,CO,"Billboards, canvas prints, business signage",299298.0,6212847.0
CO0741,CO,2021,3084.0,326122.0,WY,Plastic conduit,325049.0,9410000.0
CO0742,CO,2021,3594.0,333996.0,CO,Specialty turbomachinery,94764.0,1764194.0
CO0743,CO,2022,182.0,111419.0,CO,Agricultural Products,54201.0,1253280.0
CO0744,CO,2022,3089.0,326122.0,CO,Plastic biomedical components,62489.0,769216.0
CO0745,CO,2022,4952.0,221320.0,CO,Treated wastewater and class B biosolids,122705.0,2179000.0
CO0746,CO,2022,3441.0,332312.0,CO,Steel/Stainless Steel,44877.0,1038240.0
CW0111,CW,2020,3714.0,336390.0,MI,auto parts,314645.0,2545200.0
CW0112,CW,2020,3549.0,333519.0,OH,metal parts,150211.0,1576400.0
CW0113,CW,2020,3089.0,326199.0,OH,"Injection Molding for Gas, Automotive, Health and Beauty",170869.0,2994746.0
CW0114,CW,2020,3089.0,326199.0,MI,plastic injection molding,202738.0,1708640.0
CW0115,CW,2020,3544.0,333511.0,MI,"Mold Design, Tooling Construction, plastic injection molding",90403.0,811680.0
CW0116,CW,2020,3299.0,327999.0,OH,Graphite and Carbon Products,39987.0,534428.0
CW0117,CW,2020,3398.0,332811.0,OH,Metal Heat Treating Products,231832.0,4558246.0
CW0118,CW,2021,1623.0,237110.0,OH,Plastic pipe,668242.0,13389947.0
CW0119,CW,2021,3599.0,334519.0,OH,Machine Rail Parts,90221.0,2000200.0
CW0120,CW,2021,3728.0,336413.0,OH,Commercial and Military Aircraft Power Generation,67614.0,1432500.0
CW0121,CW,2022,3531.0,333120.0,OH,"Stump grinders, Forestry mulchers",97285.0,2206532.0
CW0122,CW,2022,3531.0,333120.0,OH,Excavators and Vacuum Trucks,335641.0,4389000.0
CW0123,CW,2022,3499.0,332510.0,PA,Architectural hardware,151027.0,1770056.0
CW0124,CW,2022,4222.0,493120.0,OH,Frozen buns,273391.0,4231929.0
CW0125,CW,2022,3087.0,325991.0,OH,Rigid PVC cubes and pellets,1401668.0,20246711.0
CW0126,CW,2022,3593.0,333995.0,OH,"Actuators for the oil, natural gas, mining  and chemical industries",64912.0,1138800.0
CW0127,CW,2023,3324.0,331512.0,OH,Invetment Castings,194628.0,5758233.0
CW0128,CW,2023,3312.0,331110.0,OH,Steel roller bearing component,550000.0,14435695.0
CW0129,CW,2023,3089.0,326199.0,OH,Injection Molding/Composite Materials,948633.0,9196500.0
CW0130,CW,2024,3699.0,335999.0,OH,Refurbishment of Battery Modules,71624.0,1527158.0
DL0001,DL,2007,3089.0,326199.0,DE,Injection Molded Plastic Parts,1245712.0,15852058.0
DL0002,DL,2007,2754.0,323111.0,MD,Calendered PVC Films and Laminates,1425532.0,14085691.0
DL0003,DL,2007,2653.0,322211.0,PA,Corrugated Cardboard Boxes,542211.0,5533205.0
DL0004,DL,2007,3724.0,336412.0,DE,Ceramic Matrix Composites,580777.0,6604416.0
DL0005,DL,2007,2522.0,337214.0,DE,"Shelving, SOHO Cabinets, Lateral File Cabinet",561708.0,37865.0
DL0006,DL,2007,2752.0,323111.0,DE,Printed Goods on Per Job Basis,97903.0,1051916.0
DL0007,DL,2007,3089.0,326199.0,DE,plastic parts,82289.0,825967.0
DL0008,DL,2007,2086.0,312111.0,DE,non-alcoholic carbonated beverages,358951.0,4170861.0
DL0009,DL,2007,2819.0,325180.0,DE,speciality chemicals,812270.0,9880861.0
DL0010,DL,2007,3471.0,332813.0,DE,"Chrome Plated Rolls,EDT Rolls",85.0,1996.0
DL0011,DL,2008,3089.0,561910.0,PA,Thermoformed Plastic Packaging,150987.0,2436000.0
DL0012,DL,2008,3086.0,326150.0,DE,noise control and thermal applications,57925.0,913000.0
DL0013,DL,2008,2821.0,325199.0,PA,"Monomers, Polyester Acrylates,Sarbox",502960.0,9370590.0
DL0014,DL,2008,3086.0,326140.0,DE,"Flopack Cushioning, Recycled Polystyrene  ",240256.0,1453920.0
DL0015,DL,2008,2082.0,312120.0,DE,Beer,14029.0,180008.0
DL0016,DL,2008,5039.0,339999.0,NJ,Fabricated Architectural Glass,731400.0,731400.0
DL0017,DL,2008,2821.0,325211.0,DE,"Resins and associated chemicals, coatings and slit rolls",640990.0,6979376.0
DL0018,DL,2008,2843.0,325613.0,DE,Surfactants,2490000.0,30000000.0
DL0019,DL,2008,2851.0,325510.0,MD,Latex Paint,161162.0,4060276.0
DL0020,DL,2008,2522.0,337215.0,PA,Office Partitions,132454.0,921409.0
DL0021,DL,2008,3599.0,332710.0,MD,Aluminum Aerospace Technology Parts,86223.0,649110.0
DL0022,DL,2008,7211.0,812320.0,MD,Laundry Services,177600.0,1348425.0
DL0023,DL,2008,3299.0,315990.0,DE,Ceramic Plating,614509.0,7000548.0
DL0024,DL,2008,2086.0,312111.0,MD,"Pepsi, Mountain Dew, Diet versions, Pepsi One, Jazz, Sierra Mist, Pepsi ",882895.0,10041460.0
